name,author,narrator,time,releasedate,language,stars,price
"Trotsky in New York, 1917",Writtenby:KennethD.Ackerman,Narratedby:StefanRudnicki,11 hrs and 32 mins,23-09-16,English,Not rated yet,836.00
Jack Hinson's One-Man War,Writtenby:TomC.McKenney,Narratedby:DavidColacci,14 hrs and 28 mins,15-11-16,English,Not rated yet,"1,003.00"
John Quincy Adams,Writtenby:JamesTraub,Narratedby:GroverGardner,25 hrs and 44 mins,22-11-16,English,Not rated yet,"1,338.00"
The Children of Willesden Lane,"Writtenby:MonaGolabek,LeeCohen",Narratedby:MonaGolabek,8 hrs and 6 mins,15-03-16,English,Not rated yet,500.00
The Fields of Home,Writtenby:RalphMoody,Narratedby:CameronBeierle,10 hrs and 18 mins,27-10-08,English,Not rated yet,836.00
Death of a King,"Writtenby:TavisSmiley,DavidRitz",Narratedby:TavisSmiley,6 hrs and 15 mins,09-09-14,English,Not rated yet,500.00
Jeb Stuart,Writtenby:BurkeDavis,Narratedby:BarrettWhitener,15 hrs and 16 mins,23-03-09,English,Not rated yet,"1,003.00"
Secret Lives of the First Ladies,Writtenby:CormacO'Brien,Narratedby:TeresaDeBerry,12 hrs and 16 mins,24-09-13,English,Not rated yet,"1,003.00"
Blooding at Great Meadows,Writtenby:AlanAxelrod,Narratedby:DavidDrummond,8 hrs and 50 mins,25-04-07,English,Not rated yet,836.00
The Explorations of Captain James Cook,Writtenby:JohnLang,Narratedby:SimonVance,2 hrs and 16 mins,06-06-12,English,Not rated yet,351.00
Plotino [Plotinus],Writtenby:OnlineStudioProductions,Narratedby:uncredited,28 mins,24-01-18,spanish,Not rated yet,166.00
Epicuro [Epicurus],Writtenby:OnlineStudioProductions,Narratedby:uncredited,28 mins,23-01-18,spanish,Not rated yet,166.00
Letters of a Woman Homesteader,Writtenby:ElinorePruittStewart,Narratedby:RebeccaBurns,4 hrs and 16 mins,21-10-08,English,Not rated yet,469.00
A General History of the Pyrates,Writtenby:DanielDefoe,Narratedby:JohnLee,12 hrs and 10 mins,15-11-16,English,Not rated yet,"1,003.00"
The Twelve Caesars,Writtenby:Suetonius,Narratedby:CliveChafer,17 hrs and 41 mins,28-03-11,English,Not rated yet,820.00
